,source_id,Kids
0,265579,1.0
1,272821,2.0
3,277626,1.0
7,250965,1.0
9,249325,2.0
10,274226,1.0
12,263966,1.0
13,292268,2.0
14,280816,1.0
15,270306,1.0
18,270614,1.0
26,268275,1.0
27,291405,2.0
28,276530,3.0
29,249718,1.0
32,253568,1.0
33,275225,1.0
34,269376,1.0
36,268971,1.0
38,291968,1.0
39,251849,1.0
40,290175,1.0
45,354557,2.0
47,260682,1.0
49,282996,1.0
53,256003,1.0
54,252494,2.0
55,252635,1.0
56,286262,1.0
57,259073,2.0
59,263169,1.0
61,257305,1.0
63,250470,1.0
66,269661,2.0
67,272343,1.0
68,280928,1.0
73,279549,2.0
74,266006,2.0
76,280980,1.0
77,266240,1.0
78,255999,1.0
79,287570,2.0
80,50591,2.0
81,278825,1.0
82,270585,1.0
85,274638,1.0
87,292364,2.0
89,264706,1.0
90,273985,1.0
91,281651,1.0
92,254200,1.0
94,251315,1.0
95,255508,1.0
96,354513,1.0
97,275635,1.0
99,267608,2.0
100,291689,2.0
101,267678,1.0
102,273245,1.0
104,272062,2.0
105,290632,1.0
107,266600,1.0
111,278550,1.0
113,251015,2.0
114,290936,2.0
116,62321,1.0
117,285676,2.0
119,262896,1.0
120,250226,1.0
121,259183,1.0
126,267661,2.0
127,255266,2.0
128,266886,1.0
129,275685,1.0
131,250914,1.0
133,289428,1.0
135,284094,1.0
136,262341,2.0
139,289427,1.0
140,256710,2.0
142,276932,1.0
143,289103,2.0
144,282582,1.0
145,274607,1.0
146,277909,2.0
148,266624,2.0
152,286609,1.0
153,251227,1.0
154,267792,2.0
156,276816,1.0
157,252876,1.0
158,257105,2.0
159,265650,1.0
160,285600,2.0
161,249193,1.0
163,262865,1.0
164,265981,1.0
0,251119,1.0
3,271867,1.0
4,283819,1.0
7,44874,1.0
9,280541,1.0
10,281297,1.0
16,249648,1.0
22,282236,2.0
24,291729,2.0
25,252039,1.0
27,55953,1.0
29,285018,1.0
30,250475,1.0
31,263222,1.0
33,274283,2.0
35,275437,1.0
39,270824,1.0
40,262298,1.0
41,47791,1.0
42,278567,1.0
43,71352,4.0
45,276445,1.0
46,279647,1.0
50,271981,1.0
51,267453,1.0
54,288734,1.0
55,288618,1.0
57,272048,1.0
58,285030,1.0
61,262748,1.0
63,256519,1.0
67,262630,2.0
70,257046,1.0
71,57153,1.0
76,255379,2.0
77,253966,1.0
80,274396,1.0
83,265547,1.0
84,263168,1.0
86,276202,1.0
88,280046,2.0
91,280679,1.0
93,285138,2.0
94,293140,1.0
95,257348,1.0
96,268848,1.0
98,281595,1.0
101,255516,1.0
103,265136,1.0
104,272048,1.0
105,260212,2.0
106,267953,1.0
107,277704,1.0
108,278548,1.0
109,285256,1.0
111,279575,2.0
112,255126,1.0
114,290839,1.0
116,61464,1.0
119,48913,1.0
120,265072,1.0
121,266886,1.0
124,266162,1.0
132,265136,1.0
133,283800,1.0
134,252050,2.0
135,46497,1.0
136,257180,1.0
138,47502,1.0
139,54930,1.0
140,278091,1.0
142,287947,1.0
144,262580,2.0
145,266838,1.0
146,59206,1.0
149,253535,1.0
150,251584,1.0
151,269219,1.0
152,276307,1.0
153,295195,1.0
156,45901,1.0
157,43570,1.0
159,267507,1.0
161,45187,1.0
162,273245,1.0
165,275376,2.0
167,277360,2.0
168,278567,1.0
170,259536,1.0
171,266262,1.0
176,51047,1.0
177,42073,1.0
178,257105,2.0
182,294421,2.0
184,249673,1.0
189,51208,1.0
190,266262,1.0
191,258501,1.0
192,280491,1.0
197,281117,1.0
200,45180,1.0
203,251956,1.0
204,252359,1.0
206,268136,1.0
210,266033,1.0
212,47048,1.0
213,268781,1.0
214,272936,1.0
215,280039,1.0
220,283310,1.0
223,300080,2.0
224,250417,1.0
230,69254,1.0
231,290800,1.0
235,250996,1.0
236,257805,1.0
238,276455,1.0
241,289427,1.0
243,58692,1.0
244,283301,1.0
245,268138,1.0
246,288458,2.0
248,61398,1.0
249,292085,1.0
252,247930,1.0
253,261419,1.0
254,263697,1.0
257,250824,1.0
258,264375,1.0
259,279931,1.0
260,254186,1.0
262,50981,1.0
264,251290,1.0
265,53346,1.0
268,288312,2.0
269,288308,1.0
272,291807,1.0
274,266586,1.0
276,287963,1.0
277,269078,1.0
278,279019,2.0
280,44831,1.0
281,278886,1.0
282,295204,1.0
285,279555,1.0
288,270590,2.0
289,249645,1.0
290,254327,1.0
291,258020,1.0
293,289138,2.0
295,43158,1.0
297,44800,1.0
299,49168,1.0
300,270358,1.0
303,269364,1.0
305,265561,1.0
306,277186,1.0
310,248104,1.0
313,276743,1.0
314,286620,2.0
315,55053,2.0
316,278950,1.0
320,290257,2.0
324,273163,1.0
327,61316,1.0
328,283307,2.0
329,71910,1.0
330,249065,1.0
331,52850,1.0
332,271679,1.0
333,255142,1.0
342,254264,2.0
346,251232,2.0
347,260195,1.0
349,254318,1.0
351,272069,1.0
352,57114,1.0
355,267691,1.0
356,41778,1.0
359,253790,1.0
362,283957,1.0
364,58496,1.0
366,283050,1.0
368,275532,1.0
371,268260,2.0
375,279439,2.0
377,267765,1.0
380,273038,1.0
381,267661,2.0
385,279735,1.0
387,272376,1.0
388,276600,1.0
389,279089,1.0
390,262833,1.0
392,268159,1.0
394,285432,1.0
395,276202,1.0
397,48498,1.0
398,261137,2.0
399,267500,1.0
400,261418,1.0
401,267921,1.0
404,249877,2.0
405,249933,2.0
409,278825,1.0
410,250987,1.0
411,42900,1.0
412,253624,1.0
416,42865,1.0
417,270262,1.0
419,288962,1.0
420,274151,1.0
422,262304,1.0
424,269446,1.0
427,265531,1.0
428,272639,1.0
429,260431,1.0
431,274226,1.0
444,285435,1.0
447,260380,1.0
453,292364,2.0
454,253749,1.0
456,279689,1.0
458,69245,1.0
459,47877,1.0
460,282236,2.0
466,300090,1.0
467,288148,1.0
468,262657,1.0
470,62444,1.0
471,290839,1.0
472,262437,1.0
473,48802,1.0
476,70799,1.0
478,285878,1.0
481,275712,1.0
483,268398,1.0
484,276530,3.0
485,61632,2.0
487,266746,1.0
488,62444,1.0
489,282713,1.0
492,275997,1.0
493,269340,2.0
494,250996,1.0
496,266162,1.0
499,267915,1.0
503,53556,1.0
504,268815,1.0
505,277360,2.0
506,251133,1.0
509,283461,1.0
514,250908,1.0
515,267056,1.0
517,58074,1.0
518,63246,1.0
519,262087,1.0
520,56323,1.0
521,280633,1.0
522,44874,1.0
523,270347,1.0
527,255249,1.0
528,269699,1.0
529,39727,1.0
534,57536,1.0
535,59911,1.0
536,283307,2.0
537,291850,1.0
546,263377,1.0
549,248305,2.0
551,269546,1.0
552,59911,1.0
553,260367,1.0
554,261896,2.0
555,354905,1.0
556,266644,1.0
557,55218,1.0
559,264700,1.0
561,265986,1.0
562,270278,1.0
563,267210,2.0
564,265068,1.0
568,255366,1.0
569,276531,3.0
570,278794,1.0
573,264731,2.0
574,20269,1.0
575,255183,1.0
576,48802,1.0
577,61186,1.0
578,277683,1.0
579,287583,1.0
582,49913,1.0
584,268991,1.0
587,282871,2.0
588,274694,2.0
591,64329,2.0
592,285413,2.0
594,53777,1.0
595,63275,2.0
597,289991,1.0
598,272060,2.0
600,49361,1.0
602,273845,1.0
606,292322,1.0
607,289538,2.0
610,52758,1.0
612,70128,1.0
615,68834,1.0
619,251232,2.0
620,266005,2.0
622,281289,1.0
624,250306,1.0
626,272113,1.0
628,265290,1.0
629,266886,1.0
634,261057,2.0
635,253535,1.0
636,286323,1.0
639,267548,1.0
641,250475,1.0
643,257430,1.0
646,263223,1.0
647,265140,1.0
648,279142,1.0
649,281944,1.0
650,294495,2.0
651,279101,2.0
652,40405,1.0
653,44704,1.0
654,257046,1.0
655,254186,1.0
657,257358,1.0
658,263948,2.0
659,286020,1.0
665,282064,1.0
668,265547,1.0
669,289734,1.0
670,57114,1.0
679,271632,1.0
681,271620,1.0
684,261379,1.0
687,279089,1.0
689,262087,1.0
690,286324,1.0
691,282530,1.0
692,264792,1.0
694,53828,2.0
701,278268,1.0
703,263056,1.0
704,266003,1.0
705,62255,1.0
706,40858,1.0
709,266120,1.0
710,72206,1.0
711,270306,1.0
715,278825,1.0
717,288294,1.0
718,277075,1.0
719,283650,1.0
720,68635,1.0
721,69969,1.0
722,27333,1.0
724,284568,1.0
730,269439,1.0
731,274607,1.0
733,267548,1.0
734,293167,1.0
735,258164,1.0
739,261220,1.0
747,258440,1.0
751,289432,1.0
752,281842,1.0
753,260367,1.0
756,279821,1.0
757,279089,1.0
759,269364,1.0
760,50209,2.0
761,267631,2.0
763,268034,1.0
765,256420,1.0
767,272669,1.0
769,253895,2.0
772,269082,1.0
775,274396,1.0
778,285035,1.0
780,274351,1.0
781,64331,1.0
782,283518,1.0
783,285224,1.0
784,281193,1.0
785,287963,1.0
786,254327,1.0
787,280697,1.0
788,280643,1.0
792,285432,1.0
794,250470,1.0
795,57851,1.0
796,251852,1.0
797,266018,1.0
800,263277,1.0
801,285600,2.0
802,71352,4.0
804,269868,1.0
809,267063,2.0
810,283649,1.0
812,276763,1.0
814,262657,1.0
816,283656,1.0
817,38729,1.0
821,273365,2.0
822,268848,1.0
827,50981,1.0
828,249837,1.0
829,273570,1.0
830,67114,1.0
831,290213,1.0
833,48755,1.0
838,290022,1.0
845,261750,1.0
846,47659,1.0
847,250327,1.0
854,39727,1.0
856,249673,1.0
857,269381,2.0
860,186471,1.0
861,260587,1.0
862,250575,1.0
864,271899,1.0
865,58654,1.0
866,268943,2.0
868,248021,1.0
871,278950,1.0
872,265225,1.0
873,53491,1.0
874,6604,1.0
875,40769,1.0
879,269586,1.0
882,271899,1.0
886,266886,1.0
889,276813,1.0
891,247650,1.0
892,267915,1.0
893,186545,1.0
895,266026,1.0
896,53321,1.0
897,282744,1.0
898,354679,1.0
899,42043,1.0
900,251047,1.0
901,250977,1.0
902,272639,1.0
903,278886,1.0
905,276352,1.0
906,288734,1.0
907,274641,2.0
912,281651,1.0
915,67801,2.0
916,291135,1.0
921,273615,2.0
925,268446,1.0
926,261927,1.0
927,277360,2.0
929,266668,1.0
930,267781,1.0
931,260587,1.0
932,267678,1.0
934,276150,1.0
937,251133,1.0
938,251668,1.0
939,253951,1.0
942,282871,2.0
943,271747,1.0
946,266088,1.0
948,269396,2.0
949,279863,1.0
950,293225,1.0
951,354896,1.0
952,276368,1.0
957,251779,2.0
959,277688,1.0
960,288294,1.0
962,271851,1.0
963,289472,1.0
964,290379,1.0
965,291729,2.0
966,272693,1.0
968,39090,1.0
969,269868,1.0
975,284175,1.0
976,253889,1.0
977,275376,2.0
979,260330,2.0
980,47818,1.0
981,268034,1.0
984,276932,1.0
986,275598,1.0
992,44423,1.0
994,282773,1.0
995,288333,1.0
997,258329,1.0
998,279044,1.0
1004,290475,1.0
1006,254186,1.0
1011,268871,1.0
1014,54645,2.0
1015,275376,2.0
1017,40769,1.0
1018,49416,1.0
1019,62112,1.0
1020,52406,1.0
1023,63246,1.0
1025,292268,2.0
1026,274205,1.0
1027,270815,2.0
1028,273349,1.0
1031,62375,1.0
1033,265547,1.0
1035,270093,1.0
1039,266387,1.0
1040,260693,1.0
1042,270262,1.0
1043,285276,1.0
1045,255864,1.0
1046,275712,1.0
1047,294495,2.0
1049,273245,1.0
1050,53556,1.0
1051,278042,1.0
1053,354896,1.0
1054,186081,1.0
1055,271697,1.0
1057,269439,1.0
1059,290387,1.0
1060,257348,1.0
1061,270821,1.0
1064,298919,1.0
1065,57596,1.0
1067,261335,2.0
1069,57052,1.0
1076,274022,1.0
1078,291419,1.0
1082,279564,1.0
1084,273597,1.0
1085,293827,1.0
1086,298394,1.0
1090,260195,1.0
1092,283349,1.0
1094,280541,1.0
1095,272049,1.0
1100,261409,1.0
1101,285435,1.0
1103,65091,1.0
1106,275900,2.0
1107,279822,1.0
1109,254004,1.0
1112,61665,1.0
1114,53573,1.0
1115,256710,2.0
1116,273925,2.0
1117,265914,1.0
1119,274441,1.0
1120,282744,1.0
1121,256003,1.0
1125,57535,1.0
1127,263377,1.0
1128,27660,1.0
1131,255379,2.0
1133,68702,1.0
1134,266083,1.0
1135,48721,1.0
1137,260868,3.0
1139,263169,1.0
1143,266641,1.0
1144,40683,1.0
1145,272069,1.0
1146,58377,2.0
1148,249161,2.0
1149,275671,2.0
1151,268817,1.0
1154,268938,1.0
1156,270073,1.0
1158,280777,1.0
1159,251584,1.0
1163,265057,1.0
1168,261501,1.0
1169,265197,1.0
1171,279466,1.0
1173,273412,1.0
1174,47026,1.0
1175,277746,2.0
1176,281876,1.0
1177,251910,1.0
1180,49441,1.0
1182,285097,1.0
1183,41780,1.0
1188,274850,1.0
1189,266176,1.0
1194,274696,1.0
1197,251825,1.0
1198,260693,1.0
1199,50981,1.0
1201,268136,1.0
1204,279629,1.0
1205,270093,1.0
1207,247649,1.0
1208,248318,1.0
1209,266053,1.0
1211,274377,1.0
1213,278542,1.0
1214,286022,1.0
1218,268171,1.0
1219,253569,1.0
1220,284304,1.0
1224,53904,1.0
1225,270200,1.0
1226,279320,1.0
1228,63246,1.0
1229,49850,2.0
1233,62527,2.0
1234,269690,1.0
1235,274055,1.0
1236,281842,1.0
1239,38420,1.0
1242,282433,2.0
1244,286323,1.0
1247,44831,1.0
1248,256420,1.0
1249,280611,1.0
1252,266269,1.0
1259,268398,1.0
1261,295223,1.0
1262,46192,1.0
1264,270348,1.0
1266,266262,1.0
1267,266162,1.0
1268,64329,2.0
1269,265343,1.0
1271,51845,1.0
1272,284735,1.0
1274,257035,1.0
1278,45180,1.0
1279,270807,1.0
1286,261832,1.0
1287,284499,1.0
1290,284212,1.0
1291,249031,1.0
1295,265605,1.0
1297,69434,1.0
1299,266746,1.0
1300,43158,1.0
1301,263158,2.0
1302,275722,1.0
1303,287535,1.0
1304,280071,1.0
1306,39727,1.0
1308,286154,1.0
1310,270278,1.0
1311,38420,1.0
1312,262298,1.0
1314,268435,1.0
1322,44423,1.0
1323,256420,1.0
1326,64957,1.0
1328,262345,1.0
1329,288721,1.0
1332,287155,1.0
1333,271697,1.0
1334,274151,1.0
1335,281289,1.0
1336,247930,1.0
1337,251133,1.0
1338,261050,1.0
1339,39973,1.0
1342,253780,1.0
1345,269076,2.0
1347,39674,1.0
1350,253764,2.0
1352,276932,1.0
1354,290484,2.0
1355,274022,1.0
1357,284911,1.0
1359,289488,1.0
1361,280550,1.0
1362,45180,1.0
1364,249718,1.0
1370,255327,1.0
1371,267915,1.0
1373,260367,1.0
1381,265605,1.0
1382,270193,1.0
1384,262642,1.0
1386,283371,1.0
1388,270824,1.0
1389,265574,1.0
1392,268832,1.0
1394,285600,2.0
1396,260711,1.0
1397,272069,1.0
1398,286262,1.0
1400,277891,2.0
1403,286537,1.0
1405,276683,1.0
1406,280764,2.0
1407,286299,1.0
1408,266003,1.0
1409,289483,1.0
1410,268847,1.0
1415,62527,2.0
1417,53491,1.0
1418,267482,2.0
1419,251233,2.0
1424,285081,2.0
1427,47818,1.0
1429,54094,1.0
1430,289416,1.0
1431,267898,1.0
1433,255780,1.0
1435,249933,2.0
1436,274460,2.0
1437,260269,1.0
1439,68702,1.0
1440,286501,1.0
1441,262914,1.0
1443,280095,1.0
1444,259486,1.0
1448,266668,1.0
1449,249048,1.0
1451,290379,1.0
1453,275650,1.0
1455,282689,1.0
1456,275376,2.0
1457,247649,1.0
1458,264368,2.0
1459,43069,1.0
1461,252426,1.0
1462,266009,1.0
1465,263913,1.0
1468,289532,1.0
1469,299978,2.0
1470,272632,1.0
1471,278825,1.0
1476,276445,1.0
1478,269305,1.0
1479,291684,2.0
1487,276079,1.0
1489,265547,1.0
1490,60099,1.0
1491,262420,1.0
1493,252076,1.0
1496,38555,1.0
1499,57114,1.0
1501,258501,1.0
1503,50684,1.0
1504,268147,1.0
1506,278640,1.0
1507,72207,1.0
1508,268972,1.0
1509,61038,2.0
1510,265044,1.0
1513,262087,1.0
1517,286567,1.0
1518,42503,1.0
1519,38420,1.0
1520,263453,3.0
1522,256333,1.0
1524,255278,1.0
1525,285224,1.0
1528,268991,1.0
1529,258112,1.0
1530,65539,1.0
1532,278680,1.0
1533,258104,2.0
1534,258511,1.0
1537,265150,1.0
1540,261379,1.0
1541,57194,1.0
1542,58349,1.0
1543,38974,1.0
1545,283073,1.0
1546,278556,1.0
1547,52992,1.0
1556,53476,1.0
1558,263673,1.0
1559,266009,1.0
1561,282689,1.0
1567,249065,1.0
1568,248104,1.0
1570,45710,1.0
1572,289482,1.0
1574,263169,1.0
1577,292674,1.0
1578,48436,1.0
1579,276067,1.0
1581,282416,1.0
1582,45990,2.0
1584,58496,1.0
1585,257180,1.0
1587,258100,1.0
1590,282064,1.0
1592,255247,1.0
1593,275122,2.0
1595,45901,1.0
1597,251910,1.0
1598,287916,2.0
1601,251719,2.0
1603,285356,1.0
1605,270499,1.0
1606,64920,1.0
1611,255516,1.0
1612,274068,2.0
1613,262290,1.0
1618,278975,1.0
1619,252379,1.0
1620,272708,1.0
1622,265605,1.0
1624,64002,1.0
1625,266120,1.0
1631,262136,1.0
1633,280895,1.0
1634,301316,1.0
1636,42865,1.0
1637,277151,1.0
1638,62385,1.0
1639,265136,1.0
1641,40148,1.0
1643,58933,2.0
1644,59814,1.0
1645,59911,1.0
1646,295541,1.0
1648,265230,1.0
1650,265290,1.0
